size,rank,average_seconds,combination
19000,13,0.63771923,"pares=MergeSort, impares=SelectionSort, final=InsertionSort"
19000,14,0.64483125,"pares=SelectionSort, impares=BubbleSort, final=InsertionSort"
20000,1,0.54266987,"pares=MergeSort, impares=BubbleSort, final=QuickSort"
20000,2,0.54643026,"pares=InsertionSort, impares=SelectionSort, final=QuickSort"
20000,3,0.54691868,"pares=InsertionSort, impares=BubbleSort, final=QuickSort"
20000,4,0.54799064,"pares=SelectionSort, impares=BubbleSort, final=QuickSort"
20000,5,0.54834217,"pares=InsertionSort, impares=MergeSort, final=QuickSort"
20000,6,0.55039841,"pares=SelectionSort, impares=MergeSort, final=QuickSort"
20000,7,0.55153758,"pares=MergeSort, impares=SelectionSort, final=QuickSort"
20000,8,0.55164808,"pares=SelectionSort, impares=BubbleSort, final=MergeSort"
20000,9,0.55367420,"pares=InsertionSort, impares=SelectionSort, final=MergeSort"
20000,10,0.55615200,"pares=InsertionSort, impares=BubbleSort, final=MergeSort"
20000,11,0.63848201,"pares=SelectionSort, impares=BubbleSort, final=InsertionSort"
20000,12,0.63925367,"pares=SelectionSort, impares=MergeSort, final=InsertionSort"
20000,13,0.64366385,"pares=MergeSort, impares=BubbleSort, final=InsertionSort"
20000,14,0.65022632,"pares=MergeSort, impares=SelectionSort, final=InsertionSort"
